Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000121846;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121682;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121885;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121672;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121935;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121724;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121925;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121756;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121945;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121769;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121858;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121703;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121891;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121675;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121836;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121736;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121954;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121745;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121740;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121799;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121806;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121666;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121897;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121685;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121860;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121798;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026861;002;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121776;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121828;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121815;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121864;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121670;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121900;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
