Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000092019;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040727;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023282;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091710;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092175;001;;17/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040841;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041296;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091899;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023424;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000008012;000;13/08/2020;13/08/2020;ENTREGA REALIZADA NORMALMENTE;01389269000174
000092060;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000041614;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000092063;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040599;003;14/08/2020;14/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091985;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040724;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000000597;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;23989907000120
000091713;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092185;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000001684;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000554
000041316;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023138;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041549;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000018120;006;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;07439329000364
000022915;001;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092066;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040615;003;14/08/2020;14/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041087;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040731;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041199;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091716;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023338;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040866;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092272;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091908;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041561;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040486;003;20/08/2020;20/08/2020;MERCADORIA DEVOLVIDA AO CLIENTE DE ORIGEM;03496778000121
000092070;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000000581;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;23989907000120
000046752;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;44669141000177
000091626;001;21/08/2020;21/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092105;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023050;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023341;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040906;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041394;003;;21/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040984;003;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041475;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040492;003;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092073;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040687;003;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041107;003;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023003;001;20/08/2020;20/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092063;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023053;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041302;003;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040891;003;28/08/2020;28/08/2020;ENTREGA FORA DA DATA PROGRAMADA;03496778000121
000092306;001;24/09/2020;24/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091900;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092393;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000022920;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092087;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000022977;001;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023256;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040771;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041153;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023048;001;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092213;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023094;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000028861;001;25/09/2020;25/09/2020;ENTREGA REALIZADA NORMALMENTE;60191616000119
000091903;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092407;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000022917;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000010307;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000040698;003;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023259;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040775;003;21/08/2020;21/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041187;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040838;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041307;003;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091876;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041508;003;;24/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040977;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092357;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000022922;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041084;003;03/09/2020;03/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091597;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023271;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091693;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000000090;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;61387197000158
000040843;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041332;003;;18/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091856;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000022960;006;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;07439329000364
000040974;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041536;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
